zona,nomeZona,domicilios,familias,populacao,matriEscolar,empregos,autoParticular,viagProduz,viagAtraid,areaZona,popMasc,popFem,popTotal,renTotalZona,renMedFam,renPerCap,renMedianFam,rendF1,rendF2,rendF3,rendF4,rendF5,rendTotal,res_assCom,res_assSem,res_funPublico,res_autonomo,res_empregador,res_profLiberal,res_negFamiliar,res_trabFamiliar,res_total,emp_agro,emp_constCivil,emp_indus,emp_comercio,emp_transCarg,emp_transPass,emp_financeiro,emp_servPessoais,emp_alimenta,emp_saude,emp_educa,emp_especializ,emp_admPubli,emp_outros,emp_total,emp_foraRes,emp_dentrRes,emp_semEnd,emp_total,vp_metro,vp_trem,vp_bus,vp_fretado,vp_escolar,vp_dirigindoAuto,vp_passAuto,vp_taxiCom,vp_taxiNCom,vp_dirigindoMoto,vp_passMoto,vp_bike,vp_pe,vp_outros,vp_total,vt_coletivo,vt_individual,vt_motorizado,vt_naoMotorizado,vt_total,mo_traIndus,mo_trabCome,mo_trabServ,mo_educacao,mo_compras,mo_saude,mo_lazer,mo_procEmp,mo_assunPesso,mo_refeicao,mo_total,tmv_coletivo,tmv_individual,tmv_pe,tmv_bike,vtra_metro,vtra_trem,vtra_bus,vtra_fretado,vtra_escolar,vtra_dirigAuto,vtra_passAuto,vtra_taxiCon,vtra_taxiNCon,vtra_dirigMoto,vtra_passMoto,vtra_bike,vtra_pe,vtra_outros,vtra_total,vtra_coletivo,vtra_individual,vtra_motorizado,vtra_naoMotorizado,vtra_total,vtra_trabIndus,vtra_trabCome,vtra_trabServ,vtra_educacao,vtra_compras,vtra_saude,vtra_lazer,vtra_procEmpr,vtra_assunPesso,vtra_refeicao,vtra_total
1,Sé,1151,1151,3262,6363,71852,326,160503,160157,57,1907,1355,3262,3757212,3264,1152,2884,938,1317,660,347,0,3262,687,104,230,317,76,38,94,77,1624,0,335,690,6878,53,4525,10069,426,2244,1819,1484,16947,11907,14475,71852,71721,19,112,71852,67842,1454,29974,22,180,9597,3492,1775,539,1677,0,146,43709,97,160503,99472,17176,116648,43855,160503,1773,10927,77107,16425,6580,568,5708,3695,19363,18357,160503,67,45,9,15,65511,1454,34277,386,235,9733,3938,704,368,1677,0,146,41670,60,160157,101862,16479,118342,41816,160157,1591,11035,88680,6999,6751,1418,3222,3125,20312,17026,160157
2,Parque Dom Pedro,2342,2342,5695,1433,51854,891,137232,138306,114,2844,2851,5695,7270945,3105,1277,2884,1002,3341,1108,244,0,5695,1003,672,121,1240,69,137,40,0,3282,0,276,2139,25257,807,1994,1142,519,761,1497,508,4774,4330,7851,51854,47979,860,3015,51854,47884,8445,25897,0,40,15337,6136,172,1065,4291,24,737,26794,409,137232,82266,27434,109700,27531,137232,2468,32420,33749,6502,35642,1654,2477,1263,12701,8357,137232,78,58,12,18,45207,7142,29969,0,40,15353,6491,623,1144,4291,24,737,26228,1057,138306,82358,28982,111341,26966,138306,2260,32580,38487,4438,37999,1537,2302,1261,10889,6553,138306
3,Praça João Mendes,7100,7100,17130,2399,18547,1166,62971,62503,48,7190,9940,17130,27827235,3919,1624,3400,3408,8150,4581,0,991,17130,4159,1268,138,1670,79,0,771,138,8223,0,852,0,2923,0,891,564,193,650,732,614,1957,6425,2745,18547,17092,413,1042,18547,20982,0,7842,0,244,6238,1178,729,552,664,0,331,23765,446,62971,29068,9807,38875,24096,62971,1604,4210,27907,10899,3127,2405,1053,388,6748,4631,62971,56,37,11,10,20980,0,8402,0,244,6267,1061,318,529,745,288,331,23337,0,62503,29626,9208,38834,23669,62503,1604,3713,29270,8727,3511,2696,1747,170,5894,5171,62503
4,Ladeira da Memória,12588,12588,24089,1127,22554,3401,78184,78286,75,13335,10754,24089,65571511,5209,2722,3580,2820,7197,9493,2265,2315,24089,6036,840,877,4680,174,1960,0,0,14567,148,610,812,1647,80,593,1292,646,1634,0,747,3903,3397,7045,22554,18303,2718,1533,22554,19800,0,13021,0,289,9695,3112,1426,1754,322,0,1084,27227,455,78184,33110,16764,49873,28311,78184,314,4116,35153,9989,2769,3310,6190,370,12231,3741,78184,70,30,14,15,17751,264,15459,0,289,9423,1503,859,3258,322,0,1084,27619,455,78286,33764,15820,49583,28702,78286,278,3887,35275,8028,2822,3420,5509,370,15043,3654,78286
5,República,8050,8050,14956,1727,89487,1737,186220,187153,75,7313,7643,14956,34199117,4248,2287,3500,1907,7250,4077,1445,277,14956,2196,769,804,2082,800,2361,940,346,10298,0,934,847,15224,498,80,11943,1608,4228,2637,942,18475,6770,25302,89487,87292,301,1893,89487,78711,880,27444,0,246,13923,3723,423,3570,2546,571,1379,51896,907,186220,107281,25663,132944,53275,186220,3480,22929,95200,13741,3857,3371,7403,4971,15224,16043,186220,72,42,8,24,79320,1395,27348,0,246,14851,3788,429,3261,2017,571,1379,51641,907,187153,108310,25823,134133,53020,187153,2606,22966,108022,6403,3979,3410,5459,5249,14165,14892,187153
6,Santa Ifigênia,9411,9411,21989,2039,38372,1445,109791,109351,83,9166,12823,21989,25210175,2679,1146,2324,4328,15164,1970,527,0,21989,6710,1155,291,4234,408,376,227,0,13400,0,626,1160,13498,0,1320,1450,0,1946,0,1224,3303,3923,9922,38372,35889,1262,1221,38372,24961,14759,16074,0,332,9754,2855,171,1718,3230,0,1565,34210,162,109791,56127,17890,74017,35774,109791,2279,25938,36913,14805,7962,2163,4349,0,8379,7002,109791,64,46,10,15,21375,14802,17433,0,332,9347,2622,328,1974,3149,0,1565,36262,162,109351,53942,17582,71524,37827,109351,2228,27707,35721,12882,9011,1978,1381,0,7557,10887,109351
7,Luz,6342,6342,18210,6873,35048,2401,93161,93681,155,9081,9129,18210,26804909,4227,1472,3988,1547,7704,8381,578,0,18210,3732,354,207,3053,475,127,681,0,8629,0,474,5097,15450,23,1124,860,427,2230,740,1608,1288,2240,3487,35048,33072,1528,448,35048,19558,12331,8075,1658,614,9956,3204,284,642,3837,669,1706,30627,0,93161,42236,18592,60828,32333,93161,8604,22146,24214,15864,9242,847,4130,0,4714,3400,93161,71,40,11,36,18300,12026,10270,1658,614,10043,3134,140,638,3837,669,1706,30605,41,93681,42868,18502,61370,32311,93681,8612,23407,23882,14546,10249,689,3900,0,4871,3524,93681
8,Bom Retiro,3834,4111,12252,3280,15080,1748,40223,40170,143,6219,6033,12252,13815270,3361,1128,2800,2471,5288,4132,259,101,12252,3360,551,147,1815,0,0,388,171,6432,0,0,3956,1453,1852,0,0,64,393,307,1518,52,88,5397,15080,14352,361,367,15080,2097,2706,6084,801,289,4326,2079,0,636,843,0,566,19797,0,40223,11976,7883,19859,20363,40223,6018,3633,13133,12653,903,550,1093,268,1315,657,40223,64,52,13,15,1846,3078,5840,801,289,4242,1197,45,514,843,0,502,20971,0,40170,11855,6842,18697,21473,40170,5989,3966,12808,12946,881,314,1170,268,1232,598,40170
9,Ponte Pequena,2267,2267,7456,6413,16492,487,36269,36522,130,3458,3998,7456,7670743,3384,1029,2500,1451,2811,2533,568,93,7456,1664,415,134,1133,23,0,74,0,3442,0,256,2983,1707,328,210,903,0,385,297,900,651,2976,4896,16492,15766,587,140,16492,12042,1103,7153,0,191,5274,952,53,134,711,0,513,8006,137,36269,20489,7261,27750,8519,36269,3012,3488,12505,10036,911,340,1261,477,3477,761,36269,82,53,11,38,12567,1136,6654,0,95,5274,988,0,143,711,0,513,8344,96,36522,20453,7213,27665,8857,36522,3603,2817,13635,9671,818,331,649,477,4321,200,36522
10,Canindé,467,467,1619,7048,6713,134,23890,24030,83,766,853,1619,1026509,2198,634,2324,489,1062,68,0,0,1619,335,90,7,182,0,19,89,0,723,0,55,1358,1790,11,7,56,9,67,19,363,815,684,1479,6713,6526,83,103,6713,5706,0,8006,330,1754,1929,1413,0,29,200,0,336,4187,0,23890,15797,3570,19367,4523,23890,1538,1993,5261,9050,38,217,5403,0,377,12,23890,63,21,11,9,5758,0,7911,330,1849,1929,1404,0,147,200,0,336,4167,0,24030,15849,3679,19528,4502,24030,1538,2037,4705,9059,38,217,5435,0,377,625,24030
